Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Prognostic p-value	RNA cancer category	RNA tissue category	RNA TS	RNA TS TPM	TPM max in non-specific	RNA cell line category	RNA CS	RNA CS TPM
MDM4	HDMX, MDMX	ENSG00000198625	MDM4, p53 regulator	1	204516379-204558120	Cancer-related genes, Predicted intracellular proteins	Evidence at protein level	HPA018919, HPA048821	Approved		Supported	Nucleus	Renal cancer:7.06e-6 (unfavourable), Urothelial cancer:2.49e-4 (favourable), Prostate cancer:9.87e-4 (unfavourable)	Expressed in all	Expressed in all			bone marrow: 37.5	Expressed in all		
MDS2		ENSG00000197880	Myelodysplastic syndrome 2 translocation associated	1	23581495-23640568	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at transcript level	HPA052999	Uncertain					Tissue enhanced	Tissue enhanced		lymph node: 7.7;tonsil: 4.0	spleen: 2.9	Cell line enhanced		Daudi: 1.0;U-266/70: 1.0;U-698: 3.4
MECOM	EVI1, KMT8E, MDS1, MDS1-EVI1, PRDM3	ENSG00000085276	MDS1 and EVI1 complex locus	3	169083499-169663618	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA046537	Supported		Supported	Nuclear speckles	Pancreatic cancer:2.59e-4 (unfavourable)	Mixed	Mixed			stomach: 67.3	Cell line enhanced		HUVEC TERT2: 48.0;RPTEC TERT1: 55.1;RT4: 94.4;TIME: 45.0
MED12	CAGH45, FGS1, HOPA, KIAA0192, OKS, OPA1, TNRC11, TRAP230	ENSG00000184634	Mediator complex subunit 12	X	71118556-71142454	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA003184, HPA003185	Enhanced		Approved	Nucleoplasm		Expressed in all	Expressed in all			ovary: 26.8	Expressed in all		
MEN1		ENSG00000133895	Menin 1	11	64803510-64811294	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA030342	Uncertain		Supported	Nucleoplasm<br>Cytosol	Stomach cancer:6.31e-5 (favourable), Liver cancer:1.08e-4 (unfavourable)	Expressed in all	Expressed in all			thyroid gland: 22.3	Expressed in all		
MET	DFNB97, HGFR, RCCP2	ENSG00000105976	MET proto-oncogene, receptor tyrosine kinase	7	116672390-116798386	Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, RAS pathway related proteins	Evidence at protein level	CAB005282, CAB018577, HPA055607	Uncertain		Supported	Plasma membrane<br>Cytosol	Pancreatic cancer:1.21e-7 (unfavourable), Head and neck cancer:6.75e-4 (unfavourable)	Expressed in all	Expressed in all			placenta: 39.0	Mixed		
MITF	bHLHe32, MI, WS2, WS2A	ENSG00000187098	Melanogenesis associated transcription factor	3	69739435-69968337	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB002578, HPA003259	Enhanced				Renal cancer:8.35e-10 (favourable)	Group enriched	Tissue enhanced		cervix, uterine: 80.9;endometrium: 79.3	smooth muscle: 69.5	Cell line enhanced		HMC-1: 78.7;SK-MEL-30: 205.7
MKL1	BSAC, KIAA1438, MAL, MRTF-A	ENSG00000196588	Megakaryoblastic leukemia (translocation) 1	22	40410281-40636702	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA030782	Approved		Supported	Nucleoplasm<br>Cytosol	Renal cancer:1.58e-7 (unfavourable)	Expressed in all	Expressed in all			bone marrow: 51.3	Expressed in all		
MLF1		ENSG00000178053	Myeloid leukemia factor 1	3	158571163-158607252	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at protein level						Endometrial cancer:2.15e-5 (unfavourable), Stomach cancer:5.54e-4 (unfavourable)	Mixed	Tissue enriched	7	testis: 671.8	fallopian tube: 97.0	Cell line enhanced		A-431: 71.8
MLH1	COCA2, FCC2, HNPCC, HNPCC2	ENSG00000076242	MutL homolog 1	3	36993332-37050918	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB013294, HPA052707, HPA060714, CAB070868	Supported		Enhanced	Nucleoplasm	Liver cancer:8.24e-5 (unfavourable)	Expressed in all	Expressed in all			testis: 60.0	Mixed		
MLLT1	ENL, LTG19, YEATS1	ENSG00000130382	MLLT1, super elongation complex subunit	19	6210379-6279948	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA031166	Approved		Supported	Nucleoplasm	Head and neck cancer:6.03e-5 (favourable)	Expressed in all	Expressed in all			placenta: 61.5	Expressed in all		
MLLT10	AF10	ENSG00000078403	Myeloid/lymphoid or mixed-lineage leukemia; translocated to, 10	10	21524675-21743630	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA005747	Supported		Supported	Nucleoplasm	Head and neck cancer:8.75e-4 (favourable)	Expressed in all	Expressed in all			testis: 177.6	Expressed in all		
MLLT11	AF1Q	ENSG00000213190	Myeloid/lymphoid or mixed-lineage leukemia; translocated to, 11	1	151057758-151068497	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA000540	Uncertain		Supported	Nucleoplasm<br>Cytosol	Renal cancer:4.25e-12 (unfavourable), Endometrial cancer:4.26e-5 (unfavourable)	Expressed in all	Tissue enriched	5	cerebral cortex: 122.5	parathyroid gland: 24.0	Cell line enhanced		AF22: 129.2;SH-SY5Y: 151.4
MLLT3	AF-9, AF9, YEATS3	ENSG00000171843	MLLT3, super elongation complex subunit	9	20341665-20622543	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA001824	Approved		Approved	Nucleoplasm<br>Cytosol	Renal cancer:1.84e-4 (favourable)	Expressed in all	Mixed			thyroid gland: 40.6	Cell line enhanced		HEL: 229.3
MLLT6	AF17, FLJ23480	ENSG00000275023	MLLT6, PHD finger domain containing	17	38705542-38729803	Cancer-related genes, Predicted intracellular proteins	Evidence at protein level	HPA004021	Approved		Approved	Nucleus	Head and neck cancer:3.98e-4 (favourable), Breast cancer:4.18e-4 (favourable), Pancreatic cancer:7.41e-4 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 36.4	Expressed in all		
MN1	MGCR, MGCR1, MGCR1-PEN	ENSG00000169184	MN1 proto-oncogene, transcriptional regulator	22	27748277-27801498	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA003072	Approved		Approved	Nucleoplasm		Mixed	Tissue enhanced		skeletal muscle: 22.0	cerebral cortex: 6.4	Cell line enhanced		AF22: 31.4;RH-30: 12.4;TIME: 16.8;U-2 OS: 17.9;U-2197: 17.1
MNX1	HB9, HLXB9, HOXHB9, SCRA1	ENSG00000130675	Motor neuron and pancreas homeobox 1	7	156994051-157010651	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA071717			Approved	Nucleus<br>Nucleoli<br>Cytosol		Mixed	Tissue enhanced		duodenum: 7.3;small intestine: 6.7	colon: 3.7	Cell line enhanced		AN3-CA: 16.0;EFO-21: 15.3;RPMI-8226: 25.9;SCLC-21H: 22.6
MPL	CD110, TPOR	ENSG00000117400	MPL proto-oncogene, thrombopoietin receptor	1	43337849-43352772	Cancer-related genes, CD markers, Disease related genes, FDA approved drug targets, Predicted membrane proteins	Evidence at protein level							Not detected	Mixed			ovary: 1.3	Cell line enriched	97	HEL: 51.8
MSH2	COCA1, HNPCC, HNPCC1	ENSG00000095002	MutS homolog 2	2	47402969-47562311	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB009572, HPA066845, CAB070867	Supported		Supported	Nucleoplasm<br>Vesicles	Liver cancer:1.72e-9 (unfavourable), Endometrial cancer:4.44e-4 (unfavourable), Pancreatic cancer:4.63e-4 (unfavourable)	Expressed in all	Expressed in all			testis: 32.2	Expressed in all		
MSH6	GTBP	ENSG00000116062	MutS homolog 6	2	47695530-47810101	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB009091, HPA028376, HPA028446, CAB070870	Enhanced		Supported	Nucleoplasm<br>Golgi apparatus<br>Vesicles	Renal cancer:1.06e-7 (unfavourable), Endometrial cancer:1.34e-4 (unfavourable), Liver cancer:7.86e-4 (unfavourable)	Expressed in all	Expressed in all			ovary: 74.5	Expressed in all		
MSI2		ENSG00000153944	Musashi RNA binding protein 2	17	57255851-57684685	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at protein level	CAB022300	Approved		Supported	Cytosol	Renal cancer:9.22e-8 (favourable), Stomach cancer:2.00e-4 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 119.2	Expressed in all		
MSN		ENSG00000147065	Moesin	X	65588377-65741931	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA000263, CAB010898, HPA011135, HPA011227, CAB047336, CAB047338	Enhanced		Enhanced	Plasma membrane	Renal cancer:1.60e-5 (unfavourable)	Expressed in all	Expressed in all			lung: 420.9	Mixed		
MTCP1	P13MTCP1, p8MTCP1	ENSG00000214827	Mature T-cell proliferation 1	X	155061622-155147937	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA032040			Approved	Nucleoplasm<br>Plasma membrane	Renal cancer:4.52e-8 (unfavourable)	Mixed	Mixed			testis: 8.7	Mixed		
MTOR	FLJ44809, FRAP, FRAP1, FRAP2, RAFT1, RAPT1	ENSG00000198793	Mechanistic target of rapamycin	1	11106535-11262507	Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB069425, HPA071227	Approved		Approved	Vesicles<br>Cytosol	Renal cancer:1.49e-5 (favourable)	Expressed in all	Expressed in all			testis: 62.2	Expressed in all		
MUC1	ADMCKD, ADMCKD1, CD227, MCD, MCKD, MCKD1, PEM, PUM	ENSG00000185499	Mucin 1, cell surface associated	1	155185824-155192916	Cancer-related genes, CD markers, Disease related genes, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB000036, CAB001986, HPA004179, HPA007235, HPA008855	Enhanced				Pancreatic cancer:4.60e-4 (unfavourable)	Expressed in all	Tissue enhanced		lung: 448.0;stomach: 654.1	cervix, uterine: 288.9	Group enriched	7	CAPAN-2: 1005.2;RPTEC TERT1: 654.7;T-47d: 360.0
MYB	c-myb	ENSG00000118513	MYB proto-oncogene, transcription factor	6	135181315-135219173	Cancer-related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB017704	Approved		Approved	Nucleus<br>Plasma membrane	Prostate cancer:9.65e-4 (favourable), Stomach cancer:9.87e-4 (favourable)	Tissue enhanced	Tissue enhanced		breast: 26.3;rectum: 29.1	colon: 25.2	Cell line enhanced		HL-60: 173.9;MOLT-4: 321.7;REH: 222.8;THP-1: 230.7;U-937: 145.8
MYC	bHLHe39, c-Myc, MYCC	ENSG00000136997	V-myc avian myelocytomatosis viral oncogene homolog	8	127735434-127741434	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB000084, CAB010307, HPA055893, HPA066556	Supported		Enhanced	Nucleoplasm	Renal cancer:5.49e-8 (unfavourable), Urothelial cancer:4.96e-5 (unfavourable), Ovarian cancer:7.52e-4 (unfavourable)	Expressed in all	Expressed in all			adipose tissue: 151.6	Expressed in all		
MYCL	bHLHe38, LMYC, MYCL1	ENSG00000116990	V-myc avian myelocytomatosis viral oncogene lung carcinoma derived homolog	1	39895426-39902256	Cancer-related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA063132			Supported	Nucleus	Lung cancer:4.49e-4 (favourable)	Expressed in all	Tissue enhanced		skin: 41.6	urinary bladder: 23.7	Group enriched	7	U-266/70: 372.1;U-266/84: 268.8
MYCN	bHLHe37, MYCNOT, N-myc, NMYC	ENSG00000134323	V-myc avian myelocytomatosis viral oncogene neuroblastoma derived homolog	2	15940564-15947007	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA057420			Approved	Nucleus<br>Nucleoli		Tissue enhanced	Tissue enhanced		placenta: 13.7	cerebral cortex: 7.2	Cell line enhanced		AF22: 43.5;BEWO: 230.1;HMC-1: 50.4;NTERA-2: 91.1;RH-30: 61.3
MYD88		ENSG00000172936	Myeloid differentiation primary response 88	3	38138478-38143022	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB009104	Approved		Supported	Vesicles<br>Mitochondria<br>Cytosol	Breast cancer:8.45e-4 (favourable)	Expressed in all	Mixed			lung: 57.1	Expressed in all		
MYH11	SMHC, SMMHC	ENSG00000133392	Myosin heavy chain 11	16	15703172-15857033	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB002302, HPA014539, HPA015310	Enhanced		Approved	Plasma membrane<br>Cytosol	Liver cancer:1.10e-5 (favourable)	Tissue enhanced	Tissue enhanced		seminal vesicle: 1381.0;smooth muscle: 1022.0	prostate: 899.8	Cell line enhanced		BEWO: 1.7;NB-4: 1.2;U-698: 3.4
MYH9	DFNA17, EPSTS, FTNS, MHA, NMHC-II-A, NMMHCA	ENSG00000100345	Myosin heavy chain 9	22	36281281-36388018	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA001644, CAB015386, HPA064783	Enhanced		Supported	Plasma membrane<br>Actin filaments<br>Cytosol		Expressed in all	Expressed in all			spleen: 308.5	Expressed in all		
MYO5A	GS1, MYH12, MYO5, MYR12	ENSG00000197535	Myosin VA	15	52307283-52529050	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA001356	Approved		Approved	Focal adhesion sites<br>Microtubule organizing center	Urothelial cancer:4.22e-4 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 96.4	Cell line enhanced		Karpas-707: 145.4
MYOD1	bHLHc1, MYF3, MYOD, PUM	ENSG00000129152	Myogenic differentiation 1	11	17719568-17722131	Cancer-related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA051362			Supported	Nucleoplasm<br>Nuclear bodies<br>Cytosol		Tissue enhanced	Tissue enriched	10	skeletal muscle: 9.0	prostate: 0.9	Cell line enriched	17	RH-30: 447.0
NAB2	MADER	ENSG00000166886	NGFI-A binding protein 2	12	57088894-57095476	Cancer-related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB004510, HPA027464	Approved		Approved	Nucleus<br>Cytosol	Renal cancer:9.38e-6 (unfavourable), Breast cancer:7.41e-4 (favourable)	Expressed in all	Expressed in all			ovary: 39.3	Expressed in all		
NACA	NACA1	ENSG00000196531	Nascent polypeptide-associated complex alpha subunit	12	56712428-56731628	Cancer-related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA073152, HPA073648			Approved	Cytosol	Renal cancer:4.58e-11 (unfavourable)	Expressed in all	Expressed in all			ovary: 2552.0	Expressed in all		
NCKIPSD	AF3P21, DIP1, ORF1, SPIN90, WASLBP, WISH	ENSG00000213672	NCK interacting protein with SH3 domain	3	48673844-48686364	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	CAB019267, HPA050005			Enhanced	Plasma membrane<br>Cytosol	Renal cancer:1.20e-5 (favourable), Liver cancer:8.57e-4 (unfavourable)	Expressed in all	Tissue enriched	9	parathyroid gland: 306.0	cerebral cortex: 35.0	Expressed in all		
NCOA1	bHLHe74, F-SRC-1, KAT13A, NCoA-1, RIP160, SRC1	ENSG00000084676	Nuclear receptor coactivator 1	2	24491914-24770702	Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB019402, HPA070213, HPA070520	Enhanced		Enhanced	Nucleoplasm<br>Plasma membrane<br>Cytosol		Expressed in all	Expressed in all			parathyroid gland: 59.0	Expressed in all		
NCOA2	bHLHe75, GRIP1, KAT13C, NCoA-2, TIF2	ENSG00000140396	Nuclear receptor coactivator 2	8	70109762-70403805	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA060243			Supported	Nucleoplasm<br>Nuclear bodies	Renal cancer:5.08e-4 (favourable)	Expressed in all	Expressed in all			epididymis: 36.0	Expressed in all		
NCOA4	ARA70, DKFZp762E1112, ELE1, PTC3, RFG	ENSG00000266412	Nuclear receptor coactivator 4	10	46005088-46030714	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA051260, HPA065208	Uncertain		Approved	Nucleoli<br>Golgi apparatus<br>Cytosol	Renal cancer:8.04e-6 (favourable), Glioma:2.88e-4 (favourable)	Expressed in all	Expressed in all			duodenum: 247.1	Expressed in all		
NCOR1	hCIT529I10, hN-CoR, KIAA1047, MGC104216, N-CoR, PPP1R109, TRAC1	ENSG00000141027	Nuclear receptor corepressor 1	17	16029157-16218185	Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA043246, HPA050288, HPA051168, CAB072830	Enhanced		Enhanced	Nucleoplasm<br>Cytosol	Renal cancer:7.92e-5 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 84.7	Expressed in all		
NCOR2	CTG26, SMRT, SMRTE, TNRC14, TRAC-1	ENSG00000196498	Nuclear receptor corepressor 2	12	124324415-124567589	Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA001928	Approved		Supported	Nucleoplasm		Expressed in all	Expressed in all			cerebral cortex: 81.2	Expressed in all		
NDRG1	CAP43, DRG1, NDR1, RTP, TDD5	ENSG00000104419	N-myc downstream regulated 1	8	133237171-133302022	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA006881	Approved		Supported	Microtubules<br>Cytosol	Liver cancer:1.47e-4 (unfavourable), Renal cancer:4.13e-4 (unfavourable), Glioma:7.24e-4 (unfavourable)	Expressed in all	Expressed in all			prostate: 535.2	Cell line enhanced		hTCEpi: 403.8;hTERT-HME1: 857.9;U-87 MG: 734.9
NF1		ENSG00000196712	Neurofibromin 1	17	31094927-31382116	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, RAS pathway related proteins	Evidence at protein level	HPA045502	Uncertain		Approved	Mitochondria		Expressed in all	Expressed in all			parathyroid gland: 33.0	Expressed in all		
NF2	ACN, BANF, merlin, SCH	ENSG00000186575	Neurofibromin 2	22	29603556-29698598	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA003097, CAB005385	Supported		Enhanced	Nucleus<br>Plasma membrane<br>Cytosol	Renal cancer:2.89e-5 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 58.7	Expressed in all		
NFATC2	NF-ATP, NFAT1, NFATp	ENSG00000101096	Nuclear factor of activated T-cells 2	20	51386957-51562831	Cancer-related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA008789, CAB018567, HPA024369	Enhanced		Supported	Nucleoplasm<br>Cytosol	Renal cancer:1.57e-4 (unfavourable)	Expressed in all	Expressed in all			gallbladder: 26.8	Cell line enhanced		HDLM-2: 22.7;HMC-1: 23.5;WM-115: 40.4
NFE2L2	NRF2	ENSG00000116044	Nuclear factor, erythroid 2 like 2	2	177227595-177392697	Cancer-related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA002990, CAB020317, HPA043438	Enhanced		Approved	Nucleus<br>Plasma membrane<br>Cytosol	Renal cancer:2.26e-4 (favourable)	Expressed in all	Expressed in all			esophagus: 267.1	Expressed in all		
NFIB	NFI-RED, NFIB2, NFIB3	ENSG00000147862	Nuclear factor I B	9	14081843-14398983	Cancer-related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA003956	Supported		Supported	Nucleus<br>Nucleoli fibrillar center	Renal cancer:3.53e-4 (favourable)	Expressed in all	Mixed			breast: 44.5	Cell line enhanced		AN3-CA: 151.3
NFKB2	LYT-10, NF-kB2, p105, p49/p100, p52	ENSG00000077150	Nuclear factor kappa B subunit 2	10	102394110-102402529	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA008422, CAB022098, HPA023900	Enhanced		Approved	Nucleoplasm<br>Cytosol	Renal cancer:6.69e-12 (unfavourable), Melanoma:8.45e-5 (favourable), Colorectal cancer:3.86e-4 (unfavourable)	Expressed in all	Expressed in all			appendix: 70.7	Expressed in all		
NFKBIE	IKBE	ENSG00000146232	NFKB inhibitor epsilon	6	44258166-44265788	Cancer-related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA002692, HPA005941, CAB010272	Supported		Supported	Nucleus<br>Nucleoli fibrillar center<br>Cytosol	Renal cancer:1.37e-6 (unfavourable), Breast cancer:1.72e-5 (favourable), Liver cancer:3.50e-4 (unfavourable), Urothelial cancer:8.07e-4 (favourable)	Expressed in all	Mixed			spleen: 26.1	Expressed in all		
NIN		ENSG00000100503	Ninein	14	50719763-50831121	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA005939, HPA070691	Enhanced		Enhanced	Nucleus<br>Nucleoli<br>Centrosome		Expressed in all	Mixed			lymph node: 47.5	Expressed in all		
NKX2-1	BCH, NKX2A, TITF1, TTF-1, TTF1	ENSG00000136352	NK2 homeobox 1	14	36516392-36521149	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB000078, CAB053633, HPA074316	Enhanced		Uncertain	Golgi apparatus<br>Vesicles		Group enriched	Group enriched	177	lung: 101.3;thyroid gland: 103.5	stomach: 0.5	Cell line enriched	36	SCLC-21H: 119.8
NONO	NMT55, NRB54, P54, P54NRB, PPP1R114	ENSG00000147140	Non-POU domain containing, octamer-binding	X	71283192-71301168	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB022069, HPA054094, HPA054559	Enhanced		Enhanced	Nucleoplasm	Endometrial cancer:9.29e-4 (unfavourable)	Expressed in all	Expressed in all			ovary: 245.9	Expressed in all		
NOTCH1	TAN1	ENSG00000148400	Notch 1	9	136494444-136545862	Cancer-related genes, Disease related genes, Plasma proteins, Predicted membrane proteins	Evidence at protein level	CAB008112, CAB022466, HPA067168	Supported		Approved	Nucleoplasm	Renal cancer:5.45e-4 (unfavourable)	Expressed in all	Expressed in all			skin: 24.0	Cell line enhanced		MOLT-4: 77.4
NOTCH2		ENSG00000134250	Notch 2	1	119911553-120069626	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA048743	Approved		Supported	Nucleoplasm<br>Plasma membrane	Ovarian cancer:5.24e-4 (unfavourable), Pancreatic cancer:9.48e-4 (unfavourable)	Expressed in all	Expressed in all			cervix, uterine: 46.7	Mixed		
NPM1	B23, NPM	ENSG00000181163	Nucleophosmin	5	171387116-171411137	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA011384, CAB012983	Supported		Enhanced	Nucleus<br>Nucleoli	Renal cancer:2.89e-6 (unfavourable), Liver cancer:4.82e-6 (unfavourable), Head and neck cancer:7.48e-4 (unfavourable)	Expressed in all	Expressed in all			ovary: 1800.2	Expressed in all		
NR4A3	CHN, CSMF, MINOR, NOR1	ENSG00000119508	Nuclear receptor subfamily 4 group A member 3	9	99821855-99866891	Cancer-related genes, Disease related genes, Nuclear receptors, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA043360	Uncertain				Breast cancer:5.97e-4 (favourable)	Mixed	Tissue enhanced		adrenal gland: 88.9	urinary bladder: 42.2	Cell line enhanced		BJ hTERT+: 21.0;SK-MEL-30: 14.0;U-266/70: 7.9
NRAS	N-ras	ENSG00000213281	Neuroblastoma RAS viral oncogene homolog	1	114704469-114716894	Cancer-related genes, Disease related genes, Predicted intracellular proteins, RAS pathway related proteins	Evidence at protein level	CAB010157, HPA049830	Uncertain				Liver cancer:3.03e-7 (unfavourable), Pancreatic cancer:1.36e-4 (unfavourable), Renal cancer:7.87e-4 (unfavourable)	Expressed in all	Expressed in all			placenta: 39.4	Expressed in all		
NRG1	GGF, HGL, HRG, NDF, NRG1-IT2	ENSG00000157168	Neuregulin 1	8	31639386-32767959	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA010964	Uncertain		Approved	Nucleoplasm		Tissue enhanced	Mixed			thyroid gland: 20.0	Cell line enhanced		A549: 130.4;hTEC/SVTERT24-B: 101.2
NSD1	ARA267, FLJ22263, KMT3B, STO	ENSG00000165671	Nuclear receptor binding SET domain protein 1	5	177133025-177300215	Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA048431, HPA070333, HPA073705	Supported		Supported	Nucleus<br>Plasma membrane		Expressed in all	Expressed in all			testis: 43.2	Mixed		
NSD2	KMT3G, MMSET, WHSC1	ENSG00000109685	Nuclear receptor binding SET domain protein 2	4	1871424-1982207	Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA015801, CAB068246, CAB068247	Enhanced		Supported	Nucleus	Liver cancer:2.61e-4 (unfavourable), Renal cancer:7.19e-4 (unfavourable)	Expressed in all	Expressed in all			testis: 66.6	Expressed in all		
NSD3	FLJ20353, KMT3F, WHISTLE, WHSC1L1	ENSG00000147548	Nuclear receptor binding SET domain protein 3	8	38269697-38382272	Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA005659, CAB013721, HPA018893	Uncertain		Approved	Nucleoplasm<br>Mitochondria	Pancreatic cancer:7.48e-4 (unfavourable)	Expressed in all	Expressed in all			placenta: 47.8	Expressed in all		
NT5C2	cN-II, GMP, NT5B, PNT5, SPG65	ENSG00000076685	5'-nucleotidase, cytosolic II	10	103088017-103193306	Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA003751	Approved					Expressed in all	Expressed in all			thyroid gland: 119.6	Expressed in all		
NTRK1	MTC, TRK, TRKA	ENSG00000198400	Neurotrophic receptor tyrosine kinase 1	1	156815640-156881850	Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Predicted membrane proteins	Evidence at protein level	CAB004606, HPA035799, HPA076570	Approved		Uncertain	Vesicles<br>Cytosol		Tissue enhanced	Tissue enriched	6	adrenal gland: 9.5	testis: 1.6	Cell line enhanced		HDLM-2: 10.4;HEL: 11.9;HMC-1: 69.1;SH-SY5Y: 19.1
NTRK3	TRKC	ENSG00000140538	Neurotrophic receptor tyrosine kinase 3	15	87859751-88256768	Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	CAB009233, HPA027484, HPA048065	Enhanced		Supported	Nuclear membrane<br>Nucleoli		Tissue enhanced	Tissue enhanced		cerebral cortex: 39.6	testis: 15.2	Cell line enriched	8	U-138 MG: 99.2
