coordinates	refseqid	gene	circn	hallm	biom_desc	run_hal01_test1a	run_697_r_test1a	run_hal01_r_test1a	run_hal01_r_test1c	run_hal01_test1c	run_hal01_test1d	run_hal01_test1b	run_697_r_test1c	run_hal01_r_test1b	run_697_test1c	run_697_r_test1b	run_697_test1e	run_697_r_test1d	run_hal01_r_test1d	run_697_test1a	run_697_test1d	
chr19:52477598-52505534	NR_103847	ZNF350-AS1	unknown	_DNA_REPAIR	ZNF350_antisense_RNA_1_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr19:52579296-52620277	NM_001136499	ZNF841	unknown	_DNA_REPAIR	zinc_finger_protein_841_	5	0	0	0	5	5	5	0	0	6	0	6	0	0	6	6
chr19:53158813-53202491	NM_001277945	ZNF83	unknown	_DNA_REPAIR	zinc_finger_protein_83_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr19:58004223-58016768	NM_001098491	ZNF419	unknown	_DNA_REPAIR	zinc_finger_protein_419_	3	0	0	0	3	3	3	0	0	2	0	2	0	0	2	2
chr19:58436990-58441925	NM_133460	ZNF418	unknown	_DNA_REPAIR	zinc_finger_protein_418_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr19:7128862-7132328	NM_000208	INSR	hsa_circ_0048948	_DNA_REPAIR	insulin_receptor_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr19:7166164-7168105	NM_000208	INSR	unknown	_DNA_REPAIR	insulin_receptor_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr19:8520288-8528570	NM_005968	HNRNPM	hsa_circ_0006382	_DNA_REPAIR	heterogeneous_nuclear_ribonucleoprotein_M_	4	0	0	0	4	4	4	0	0	3	0	3	0	0	3	3
chr19:9643520-9645955	NM_024106	ZNF426	unknown	_DNA_REPAIR	zinc_finger_protein_426_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr20:30345209-30366787	NM_012112	TPX2	unknown	_G2M_CHECKPOINT	TPX2,_microtubule_nucleation_factor_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr20:30370051-30385318	NM_012112	TPX2	hsa_circ_0003209	_G2M_CHECKPOINT	TPX2,_microtubule_nucleation_factor_	0	0	2	2	0	0	0	0	2	2	0	2	0	2	2	2
chr20:32207322-32216241	NM_001032999	CBFA2T2	hsa_circ_0059862	_G2M_CHECKPOINT	CBFA2/RUNX1_translocation_partner_2_	0	0	2	2	0	0	0	0	2	2	0	2	0	2	2	2
chr20:33302393-33303169	NM_001242539	NCOA6	hsa_circ_0008213	_APICAL_SURFACE	nuclear_receptor_coactivator_6_	0	0	0	0	0	0	0	0	0	3	0	3	0	0	3	3
chr20:34389412-34435356	NM_016436	PHF20	hsa_circ_0006478	_APICAL_SURFACE	PHD_finger_protein_20_	0	0	3	3	0	0	0	0	3	2	0	2	0	3	2	2
chr20:39721111-39729993	NM_003286	TOP1	unknown	_G2M_CHECKPOINT	DNA_topoisomerase_I_	0	0	0	0	0	0	0	0	0	4	0	4	0	0	4	4
chr20:45848908-45891172	NM_001281771	ZMYND8	unknown	_G2M_CHECKPOINT	zinc_finger_MYND-type_containing_8_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr20:45867639-45891172	NM_001281771	ZMYND8	unknown	_G2M_CHECKPOINT	zinc_finger_MYND-type_containing_8_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr20:58318161-58330419	NM_001199505	PHACTR3	unknown	_G2M_CHECKPOINT	phosphatase_and_actin_regulator_3_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr2:109388156-109389502	NM_006267	RANBP2	hsa_circ_0006965	_G2M_CHECKPOINT	RAN_binding_protein_2_	0	0	5	5	0	0	0	0	5	2	0	2	0	5	2	2
chr2:113057425-113057606	NM_198581	ZC3H6	hsa_circ_0001062	_G2M_CHECKPOINT	zinc_finger_CCCH-type_containing_6_	2	0	0	0	2	2	2	0	0	2	0	2	0	0	2	2
chr21:17205666-17208361	NM_013396	USP25	unknown	_G2M_CHECKPOINT	ubiquitin_specific_peptidase_25_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr21:40578033-40590586	NM_018963	BRWD1	unknown	_G2M_CHECKPOINT	bromodomain_and_WD_repeat_domain_containing_1_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr2:152293340-152314477	NM_001177663	RIF1	unknown	_G2M_CHECKPOINT	replication_timing_regulatory_factor_1_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr2:152980279-153006743	NM_005843	STAM2	unknown	_IL6_JAK_STAT3_SIGNALING	signal_transducing_adaptor_molecule_2_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr2:15555669-15618413	NM_015909	NBAS	unknown	_IL6_JAK_STAT3_SIGNALING	neuroblastoma_amplified_sequence_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr2:197559769-197576976	NM_001080539	CCDC150	unknown	_IL6_JAK_STAT3_SIGNALING	coiled-coil_domain_containing_150_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr2:217005908-217026771	NM_021141	XRCC5	hsa_circ_0058175	_ANDROGEN_RESPONSE	X-ray_repair_cross_complementing_5_	0	0	3	3	0	0	0	0	3	2	0	2	0	3	2	2
chr22:17978441-17979767	NM_031413	unkn	hsa_circ_0062161	_ANDROGEN_RESPONSE	X-ray_repair_cross_complementing_5_	0	0	2	2	0	0	0	0	2	3	0	3	0	2	3	3
chr2:219394678-219411021	NM_020935	USP37	unknown	_ANDROGEN_RESPONSE	ubiquitin_specific_peptidase_37_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr2:223765391-223773868	NM_004457	ACSL3	hsa_circ_0004821	_MTORC1_SIGNALING	acyl-CoA_synthetase_long_chain_family_member_3_	2	0	4	4	2	2	2	0	4	2	0	2	0	4	2	2
chr22:24698162-24743144	NM_001145468	SPECC1L	hsa_circ_0062602	_MTORC1_SIGNALING	sperm_antigen_with_calponin_homology_and_coiled-coil_domains_1_like_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr2:236658997-236715975	NM_001244888	AGAP1	hsa_circ_0058800	_MTORC1_SIGNALING	ArfGAP_with_GTPase_domain,_ankyrin_repeat_and_PH_domain_1_	0	0	3	3	0	0	0	0	3	2	0	2	0	3	2	2
chr22:36705326-36715680	NM_002473	MYH9	hsa_circ_0063134	_HEDGEHOG_SIGNALING	myosin_heavy_chain_9_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr22:36894037-36897454	NM_024955	FOXRED2	unknown	_HEDGEHOG_SIGNALING	FAD_dependent_oxidoreductase_domain_containing_2_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr22:39440945-39475090	NM_145298	APOBEC3F	unknown	_COMPLEMENT	apolipoprotein_B_mRNA_editing_enzyme_catalytic_subunit_3F_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr2:24181170-24207701	NM_181713	UBXN2A	hsa_circ_0052967	_COMPLEMENT	UBX_domain_protein_2A_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr22:42910111-42970824	NM_015703	RRP7A	hsa_circ_0001241	_COMPLEMENT	ribosomal_RNA_processing_7_homolog_A_	8	0	5	5	8	8	8	0	5	3	0	3	0	5	3	3
chr22:45204186-45221473	NM_181334	PRR5-ARHGAP8	unknown	_COMPLEMENT	PRR5-ARHGAP8_readthrough_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr2:24524022-24526731	NM_006277	ITSN2	unknown	_COMPLEMENT	intersectin_2_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr2:32740056-32750695	NM_016252	BIRC6	unknown	_COMPLEMENT	baculoviral_IAP_repeat_containing_6_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr2:44187679-44216829	NM_133259	LRPPRC	unknown	_OXIDATIVE_PHOSPHORYLATION	leucine_rich_pentatricopeptide_repeat_containing_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr2:48847989-48898819	NM_001198593	STON1-GTF2A1L	unknown	_OXIDATIVE_PHOSPHORYLATION	STON1-GTF2A1L_readthrough_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr2:54839297-54859905	NM_003128	SPTBN1	unknown	_TGF_BETA_SIGNALING	spectrin_beta,_non-erythrocytic_1_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr2:55559701-55562300	NM_001135597	CCDC88A	hsa_circ_0054618	_MITOTIC_SPINDLE	coiled-coil_domain_containing_88A_	2	0	0	0	2	2	2	0	0	3	0	3	0	0	3	3
chr2:61126104-61126971	NM_002908	REL	unknown	_TNFA_SIGNALING_VIA_NFKB	REL_proto-oncogene,_NF-kB_subunit_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr2:61709514-61720188	NM_003400	XPO1	unknown	_G2M_CHECKPOINT	exportin_1_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr2:61715299-61761038	NM_003400	XPO1	hsa_circ_0054868	_G2M_CHECKPOINT	exportin_1_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr2:61717776-61719616	NM_003400	XPO1	unknown	_G2M_CHECKPOINT	exportin_1_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr2:61749745-61764803	NM_003400	XPO1	unknown	_G2M_CHECKPOINT	exportin_1_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr2:68717321-68765359	NM_173545	APLF	hsa_circ_0055020	_G2M_CHECKPOINT	aprataxin_and_PNKP_like_factor_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr2:68794472-68839379	NM_173545	APLF	unknown	_G2M_CHECKPOINT	aprataxin_and_PNKP_like_factor_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr2:73828321-73899622	NM_015120	ALMS1	hsa_circ_0001031	_MITOTIC_SPINDLE	ALMS1,_centrosome_and_basal_body_associated_protein_	0	0	0	0	0	0	0	0	0	5	0	5	0	0	5	5
chr2:74273404-74307718	NM_144993	unkn	unknown	_MITOTIC_SPINDLE	ALMS1,_centrosome_and_basal_body_associated_protein_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr3:111297873-111319761	NM_005816	CD96	unknown	_ALLOGRAFT_REJECTION	CD96_molecule_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr3:11396894-11421526	NM_001136031	ATG7	hsa_circ_0002790	_ALLOGRAFT_REJECTION	autophagy_related_7_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr3:121215654-121217517	NM_199420	POLQ	unknown	_G2M_CHECKPOINT	DNA_polymerase_theta_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr3:138244331-138256189	NM_024491	CEP70	unknown	_G2M_CHECKPOINT	centrosomal_protein_70_	0	0	0	0	0	0	0	0	0	3	0	3	0	0	3	3
chr3:142066075-142078773	NM_001042604	unkn	unknown	_G2M_CHECKPOINT	centrosomal_protein_70_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr3:15793256-15855816	NM_001195099	ANKRD28	unknown	_G2M_CHECKPOINT	ankyrin_repeat_domain_28_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr3:160131260-160132305	NM_001002800	SMC4	hsa_circ_0001356	_G2M_CHECKPOINT	structural_maintenance_of_chromosomes_4_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr3:196089164-196129890	NM_015562	UBXN7	unknown	_G2M_CHECKPOINT	UBX_domain_protein_7_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr3:196453525-196457963	NM_001166304	PIGX	unknown	_G2M_CHECKPOINT	phosphatidylinositol_glycan_anchor_biosynthesis_class_X_	0	0	2	2	0	0	0	0	2	2	0	2	0	2	2	2
chr3:25677426-25686961	NM_001068	TOP2B	unknown	_G2M_CHECKPOINT	DNA_topoisomerase_II_beta_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr3:27424643-27465643	NM_001258380	SLC4A7	hsa_circ_0064618	_G2M_CHECKPOINT	solute_carrier_family_4_member_7_	2	0	0	0	2	2	2	0	0	3	0	3	0	0	3	3
chr3:27453132-27493989	NM_001258380	SLC4A7	hsa_circ_0064622	_G2M_CHECKPOINT	solute_carrier_family_4_member_7_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr3:32569937-32578596	NM_016141	DYNC1LI1	unknown	_G2M_CHECKPOINT	dynein_cytoplasmic_1_light_intermediate_chain_1_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr3:37125126-37170640	NM_001134369	LRRFIP2	unknown	_G2M_CHECKPOINT	LRR_binding_FLII_interacting_protein_2_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr3:44871462-44882730	NM_020242	KIF15	unknown	_G2M_CHECKPOINT	kinesin_family_member_15_	0	0	3	3	0	0	0	0	3	2	0	2	0	3	2	2
chr3:51638435-51638552	NM_015106	RAD54L2	unknown	_G2M_CHECKPOINT	RAD54_like_2_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr3:53264472-53276258	NM_001135055	TKT	unknown	_ADIPOGENESIS	transketolase_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr3:9477751-9478572	NM_001080517	SETD5	unknown	_ADIPOGENESIS	SET_domain_containing_5_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr4:128995614-129003460	NM_001278604	LARP1B	hsa_circ_0007619	_ADIPOGENESIS	La_ribonucleoprotein_domain_family_member_1B_	3	0	3	3	3	3	3	0	3	2	0	2	0	3	2	2
chr4:129857809-129925031	NM_144643	SCLT1	unknown	_ADIPOGENESIS	sodium_channel_and_clathrin_linker_1_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr4:146712342-146712642	NM_178835	ZNF827	unknown	_ADIPOGENESIS	zinc_finger_protein_827_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr4:151792496-151814301	NM_001199282	LRBA	hsa_circ_0071238	_ADIPOGENESIS	LPS_responsive_beige-like_anchor_protein_	2	0	3	3	2	2	2	0	3	2	0	2	0	3	2	2
chr4:170428187-170477246	NM_001199397	NEK1	unknown	_ADIPOGENESIS	NIMA_related_kinase_1_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr4:39839475-39843676	NM_001100399	PDS5A	unknown	_ADIPOGENESIS	PDS5_cohesin_associated_factor_A_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr4:42424823-42448661	NM_001105529	ATP8A1	hsa_circ_0069602	_ADIPOGENESIS	ATPase_phospholipid_transporting_8A1_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr4:54252742-54252893	NM_001134937	FIP1L1	unknown	_ADIPOGENESIS	factor_interacting_with_PAPOLA_and_CPSF1_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr4:77917577-77952123	NM_018243	SEPT11	hsa_circ_0070057	_ADIPOGENESIS	septin_11_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr4:79747190-79786874	NM_017593	BMP2K	hsa_circ_0070193	_HEME_METABOLISM	BMP2_inducible_kinase_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr4:88084709-88116842	NM_020803	KLHL8	unknown	_HEME_METABOLISM	kelch_like_family_member_8_	0	0	0	0	0	0	0	0	0	4	0	4	0	0	4	4
chr4:88091230-88116842	NM_020803	KLHL8	hsa_circ_0070389	_HEME_METABOLISM	kelch_like_family_member_8_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr4:88957371-88987031	NM_000297	PKD2	unknown	_MITOTIC_SPINDLE	polycystin_2,_transient_receptor_potential_cation_channel_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr5:102231554-102237117	NM_000919	PAM	unknown	_HYPOXIA	peptidylglycine_alpha-amidating_monooxygenase_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr5:112871436-112929247	NM_022828	YTHDC2	unknown	_HYPOXIA	YTH_domain_containing_2_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr5:122868262-122893258	NM_001031812	CSNK1G3	unknown	_HYPOXIA	casein_kinase_1_gamma_3_	0	0	2	2	0	0	0	0	2	3	0	3	0	2	3	3
chr5:122881110-122911657	NM_001031812	CSNK1G3	hsa_circ_0073706	_HYPOXIA	casein_kinase_1_gamma_3_	0	0	0	0	0	0	0	0	0	3	0	3	0	0	3	3
chr5:130840318-130899559	NM_001164386	RAPGEF6	unknown	_MITOTIC_SPINDLE	Rap_guanine_nucleotide_exchange_factor_6_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr5:158500403-158523414	NM_024007	EBF1	hsa_circ_0074824	_MITOTIC_SPINDLE	early_B_cell_factor_1_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr5:16779653-16783578	NM_012334	MYO10	unknown	_MITOTIC_SPINDLE	myosin_X_	0	0	0	0	0	0	0	0	0	3	0	3	0	0	3	3
chr5:173009429-173009542	NR_027108	AC008663.2	unknown	_MITOTIC_SPINDLE	myosin_X_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr5:179663143-179709631	NM_002752	MAPK9	unknown	_PI3K_AKT_MTOR_SIGNALING	mitogen-activated_protein_kinase_9_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr5:36975877-36986403	NM_015384	NIPBL	unknown	_UV_RESPONSE_DN	NIPBL,_cohesin_loading_factor_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr5:36982266-36986403	NM_015384	NIPBL	unknown	_UV_RESPONSE_DN	NIPBL,_cohesin_loading_factor_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr5:43624133-43677908	NM_012343	NNT	hsa_circ_0072410	_OXIDATIVE_PHOSPHORYLATION	nicotinamide_nucleotide_transhydrogenase_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr5:54562965-54569205	NM_019030	DHX29	hsa_circ_0072469	_OXIDATIVE_PHOSPHORYLATION	DExH-box_helicase_29_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr5:60817089-60827552	NM_020928	ZSWIM6	unknown	_OXIDATIVE_PHOSPHORYLATION	zinc_finger_SWIM-type_containing_6_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr5:65317149-65350779	NM_001006600	ERBIN	unknown	_OXIDATIVE_PHOSPHORYLATION	erbb2_interacting_protein_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr5:70797388-70808255	NM_018429	BDP1	unknown	_OXIDATIVE_PHOSPHORYLATION	B_double_prime_1,_subunit_of_RNA_polymerase_III_transcription_initiation_factor_IIIB_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr5:87583252-87615651	NR_039993	TMEM161B-AS1	unknown	_OXIDATIVE_PHOSPHORYLATION	TMEM161B_antisense_RNA_1_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr5:88119551-88119747	NM_001193348	MEF2C	unknown	_MYOGENESIS	myocyte_enhancer_factor_2C_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr5:95084036-95103870	NM_014899	RHOBTB3	hsa_circ_0073440	_ESTROGEN_RESPONSE_EARLY	Rho_related_BTB_domain_containing_3_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr5:96320783-96350799	NM_005575	LNPEP	hsa_circ_0073472	_ESTROGEN_RESPONSE_EARLY	leucyl_and_cystinyl_aminopeptidase_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr6:10728872-10751467	NM_001165258	TMEM14C	hsa_circ_0001575	_ESTROGEN_RESPONSE_EARLY	transmembrane_protein_14C_	6	0	0	0	6	6	6	0	0	5	0	5	0	0	5	5
chr6:116966876-116982009	NM_145062	ZUFSP	hsa_circ_0077705	_ESTROGEN_RESPONSE_EARLY	transmembrane_protein_14C_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr6:138763119-138817508	NM_001144060	NHSL1	unknown	_ESTROGEN_RESPONSE_EARLY	NHS_like_1_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr6:138772118-138772284	NM_001144060	NHSL1	unknown	_ESTROGEN_RESPONSE_EARLY	NHS_like_1_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr6:150004214-150016357	NR_073033	LATS1	unknown	_MITOTIC_SPINDLE	large_tumor_suppressor_kinase_1_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr6:151277130-151286173	NM_001242767	MTHFD1L	hsa_circ_0078293	_MITOTIC_SPINDLE	methylenetetrahydrofolate_dehydrogenase_(NADP+_dependent)_1_like_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr6:151669845-151674887	NM_005100	AKAP12	hsa_circ_0078299	_HYPOXIA	A-kinase_anchoring_protein_12_	7	0	0	0	7	7	7	0	0	8	0	8	0	0	8	8
chr6:158688265-158735300	NM_001007466	TULP4	unknown	_HYPOXIA	tubby_like_protein_4_	2	0	0	0	2	2	2	0	0	2	0	2	0	0	2	2
chr6:158703294-158735300	NM_001007466	TULP4	unknown	_HYPOXIA	tubby_like_protein_4_	10	0	0	0	10	10	10	0	0	3	0	3	0	0	3	3
chr6:158733082-158735300	NM_001007466	TULP4	unknown	_HYPOXIA	tubby_like_protein_4_	12	0	0	0	12	12	12	0	0	4	0	4	0	0	4	4
chr6:18236682-18258636	NM_001134709	DEK	hsa_circ_0075796	_E2F_TARGETS	DEK_proto-oncogene_	4	0	0	0	4	4	4	0	0	4	0	4	0	0	4	4
chr6:26370549-26406484	NM_001197247	BTN3A2	unknown	_E2F_TARGETS	butyrophilin_subfamily_3_member_A2_	2	0	0	0	2	2	2	0	0	2	0	2	0	0	2	2
chr6:29913227-29977144	NM_001242758	HLA-A	unknown	_INTERFERON_GAMMA_RESPONSE	major_histocompatibility_complex,_class_I,_A_	14	0	0	0	14	14	14	0	0	10	0	10	0	0	10	10
chr6:31322255-31349855	NM_005514	HLA-B	unknown	_INTERFERON_GAMMA_RESPONSE	major_histocompatibility_complex,_class_I,_B_	40	0	0	0	40	40	40	0	0	18	0	18	0	0	18	18
chr6:32523259-32548633	NR_001298	HLA-DRB6	unknown	_INTERFERON_GAMMA_RESPONSE	major_histocompatibility_complex,_class_II,_DR_beta_6_(pseudogene)_	0	0	0	0	0	0	0	0	0	7	0	7	0	0	7	7
chr6:32526449-32552630	NR_001298	HLA-DRB6	unknown	_INTERFERON_GAMMA_RESPONSE	major_histocompatibility_complex,_class_II,_DR_beta_6_(pseudogene)_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr6:33053555-33095875	NM_002121	HLA-DPB1	unknown	_INTERFERON_GAMMA_RESPONSE	major_histocompatibility_complex,_class_II,_DP_beta_1_	25	0	0	0	25	25	25	0	0	5	0	5	0	0	5	5
chr6:42603155-42630015	NM_015255	UBR2	unknown	_INTERFERON_GAMMA_RESPONSE	ubiquitin_protein_ligase_E3_component_n-recognin_2_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr6:56915571-56955692	NM_020931	KIAA1586	hsa_circ_0001611	_INTERFERON_GAMMA_RESPONSE	KIAA1586_	13	0	0	0	13	13	13	0	0	4	0	4	0	0	4	4
chr6:71123348-71212494	NM_001105531	FAM135A	unknown	_INTERFERON_GAMMA_RESPONSE	family_with_sequence_similarity_135_member_A_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr6:76357446-76380436	NM_001100409	SENP6	hsa_circ_0077086	_INTERFERON_GAMMA_RESPONSE	SUMO_specific_peptidase_6_	2	0	0	0	2	2	2	0	0	2	0	2	0	0	2	2
chr6:76368977-76388643	NM_001100409	SENP6	unknown	_INTERFERON_GAMMA_RESPONSE	SUMO_specific_peptidase_6_	0	0	0	0	0	0	0	0	0	3	0	3	0	0	3	3
chr6:79668191-79679634	NM_017934	PHIP	unknown	_INTERFERON_GAMMA_RESPONSE	pleckstrin_homology_domain_interacting_protein_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr6:89479492-89563483	NM_003800	RNGTT	unknown	_INTERFERON_GAMMA_RESPONSE	RNA_guanylyltransferase_and_5'-phosphatase_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr6:90039501-90053475	NM_016021	UBE2J1	unknown	_ANDROGEN_RESPONSE	ubiquitin_conjugating_enzyme_E2_J1_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr7:102038066-102040095	NR_038967	PRKRIP1	hsa_circ_0081651	_ANDROGEN_RESPONSE	PRKR_interacting_protein_1_	0	0	5	5	0	0	0	0	5	2	0	2	0	5	2	2
chr7:105099614-105135700	NM_019042	PUS7	hsa_circ_0081840	_ANDROGEN_RESPONSE	pseudouridylate_synthase_7_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr7:127025579-127026209	NM_176814	ZNF800	unknown	_ANDROGEN_RESPONSE	zinc_finger_protein_800_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr7:129297182-129367205	NM_005011	NRF1	hsa_circ_0082307	_ANDROGEN_RESPONSE	nuclear_respiratory_factor_1_	0	0	0	0	0	0	0	0	0	4	0	4	0	0	4	4
chr7:129311268-129330386	NM_005011	NRF1	hsa_circ_0082309	_ANDROGEN_RESPONSE	nuclear_respiratory_factor_1_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr7:133747049-133747196	NM_021807	EXOC4	unknown	_APICAL_JUNCTION	exocyst_complex_component_4_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr7:140476711-140508795	NM_004333	BRAF	hsa_circ_0007178	_SPERMATOGENESIS	B-Raf_proto-oncogene,_serine/threonine_kinase_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr7:146302785-146302890	NM_014141	CNTNAP2	unknown	_SPERMATOGENESIS	contactin_associated_protein_like_2_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr7:148903787-148910906	NM_003575	ZNF282	unknown	_SPERMATOGENESIS	zinc_finger_protein_282_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr7:148903787-148963821	NM_003575	ZNF282	unknown	_SPERMATOGENESIS	zinc_finger_protein_282_	0	0	0	0	0	0	0	0	0	3	0	3	0	0	3	3
chr7:148903787-148985007	NM_003575	ZNF282	unknown	_SPERMATOGENESIS	zinc_finger_protein_282_	0	0	0	0	0	0	0	0	0	3	0	3	0	0	3	3
chr7:17929985-17937069	NM_015132	SNX13	hsa_circ_0079524	_SPERMATOGENESIS	sorting_nexin_13_	0	0	9	9	0	0	0	0	9	2	0	2	0	9	2	2
chr7:23023562-23030758	NM_032581	FAM126A	hsa_circ_0001682	_SPERMATOGENESIS	family_with_sequence_similarity_126_member_A_	0	0	2	2	0	0	0	0	2	2	0	2	0	2	2	2
chr7:2412307-2414241	NM_001037283	EIF3B	unknown	_MYC_TARGETS_V1	eukaryotic_translation_initiation_factor_3_subunit_B_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
chr7:24663284-24733467	NM_016447	MPP6	unknown	_MYC_TARGETS_V1	membrane_palmitoylated_protein_6_	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2
